Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Rahasya,2015,123,"Mystery, Thriller",7.6,"4,599",Manish Gupta,Kay Kay Menon,Ashish Vidyarthi,Tisca Chopra
Wedding Pullav,2015,124,"Comedy, Romance",3.8,185,Binod Pradhan,Diganth,Anushka Ranjan,Sonnalli Seygall
Extraordinaari,2015,144,"Drama, Family, Fantasy",3.4,9,Sunanda Shyamal Mitra,Rituparna Sengupta,Abhishek Gupta,Satyajit Sharma
Gabbar is Back,2015,128,"Action, Comedy, Crime",7.1,"23,209",Radha Krishna Jagarlamudi,Akshay Kumar,Shruti Haasan,Kareena Kapoor
Jai Ho Democracy,2015,85,"Comedy, War",5.2,55,Bikramjeet Bhullar,Ranjit Kapoor,Azb Dahal,Dolly Ahluwalia
Parched,2015,116,Drama,7.6,"4,954",Leena Yadav,Tannishtha Chatterjee,Radhika Apte,Surveen Chawla
Fireflies in the Abyss,2015,88,"Documentary, Drama",7,71,Chandrasekhar Reddy,Nishant Rai,Raj Rai,Suraj Subba
Jai Jawaan Jai Kisaan,2015,100,"Biography, Drama, History",5.2,28,Milann Ajmera,Rati Agnihotri,Kanchan Awasthi,Rishi Bhutani
Second Hand Husband,2015,105,"Comedy, Romance",3.8,156,Smeep Kang,Dharmendra,Sanjay Mishra,Vijay Raaz
Hawaizaada,2015,148,"Biography, Drama",5.5,"1,753",Vibhu Puri,Naman Jain,Mithun Chakraborty,Kanishka Singh Deo
Rainbow,2015,106,"Comedy, Drama",7.9,"3,652",Nagesh Kukunoor,Krrish Chhabria,Hetal Gada,Vipin Sharma
Four Pillars of Basement,2015,134,"Action, Mystery, Thriller",4.6,19,Giresh Naik,Shawar Ali,Ravi Gadariya,Zakir Husain
Ab Tak Chhappan 2,2015,106,"Action, Crime, Thriller",5.8,"1,344",Ejaz Gulab,Nana Patekar,Mohan Agashe,Gul Panag
Hate Story 3,2015,126,"Drama, Thriller",4.5,"3,047",Vishal Pandya,Sharman Joshi,Karan Singh Grover,Zareen Khan
Yaara Silly Silly,2015,108,Romance,5.6,239,Subhash Sehgal,Parambrata Chattopadhyay,Paoli Dam,Eva Grover
Detective Byomkesh Bakshy,2015,139,"Action, Crime, Drama",7.7,"21,107",Dibakar Banerjee,Sushant Singh Rajput,Anand Tiwari,Neeraj Kabi
Nath Ek Pratha,2015,137,Action,6.2,25,Anil Naryani,Bharat Balani,Vaibhav Chauhan,Sikandar Kureshi
Phantom,2015,136,"Action, Drama, Thriller",5.9,"8,714",Kabir Khan,Saif Ali Khan,Katrina Kaif,Sabyasachi Chakrabarty
Dilliwaali Zaalim Girlfriend,2015,121,"Comedy, Drama",3.7,176,Japinder Kaur Baweja,Ira Dubey,Natalia Kapchuk,Vijay Meenu
Island City,2015,108,Drama,6.7,315,Ruchika Oberoi,Vinay Pathak,Amruta Subhash,Tannishtha Chatterjee
Piku,2015,123,"Comedy, Drama",7.6,"29,786",Shoojit Sircar,Deepika Padukone,Amitabh Bachchan,Irrfan Khan
Waiting,2015,92,"Comedy, Drama",7.2,"1,699",Anu Menon,Naseeruddin Shah,Kalki Koechlin,Jennifer Antony
Out of a Jam,2015,59,Documentary,8.5,16,Shalini Harshwal,Linnet Mushran,Ramkali,Sunita Dhar
Mr X,2015,133,"Action, Crime, Drama",3.8,"1,833",Vikram Bhatt,Emraan Hashmi,Amyra Dastur,Tanmay Bhat
Guy in the blue,2015,86,"Mystery, Romance, Thriller",6.7,7,Akhilesh Verma,Jannat Shekhawat,Varsha Varsha,Uma Verma
Mrs Scooter,2015,96,"Drama, Romance",6.5,202,Shiladitya Moulik,Anjali Patil,Jafar Abbas,Satyakam Anand
P Se PM Tak,2015,123,"Comedy, Drama",3.9,80,Kundan Shah,Meenakshi Dixit,Indrajeet Soni,Bharat Jadhav
Ishq Ke Parindey,2015,120,"Music, Romance",6.8,51,Shakir Khan,Rishi Verma,Priyanka Mehta,Manjul Azad
MSG 2 the Messenger,2015,134,"Action, Comedy, Drama",6.6,"8,431",Gurmeet Ram Rahim Singh,Muntazir Ahmad,Charanpreet Insan,Honeypreet Insan
Ishqedarriyaan,2015,132,Romance,4.8,151,V.K. Prakash,Mimoh Chakraborty,Kavin Dave,Mohit Dutta
Hai Golmaal in White House,2015,125,Comedy,2.5,8,Salar Shaikh,Arun Bakshi,Krishna Bhatt,Rajesh Chowdhury
MSG The Messenger of God,2015,197,"Action, Comedy, Drama",5.8,"11,192",Jeetu Arora,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,Daniel Kaleb
Ranviir the Marshal,2015,132,"Action, Drama, Thriller",7.7,7,Milind Ukey,Rishy,Rati Agnihotri,Ramnita Chaudhry
Ranna,2015,152,"Action, Comedy, Drama",6.2,616,Nandakishore,Sudeep,Prakash Raj,Avinash
Hamari Adhuri Kahani,2015,129,"Drama, Romance",6.7,"5,546",Mohit Suri,Rajkummar Rao,Emraan Hashmi,Vidya Balan
Ek Paheli Leela,2015,145,"Mystery, Romance, Thriller",3.7,"1,700",Bobby Khan,Sunny Leone,Rahul Dev,Mohit Ahlawat
Nil Battey Sannata,2015,100,"Drama, Family",8.3,"6,069",Ashwiny Iyer Tiwari,Swara Bhaskar,Ratna Pathak Shah,Riya Shukla
Ranbanka,2015,98,Action,3.6,119,Aryeman Ramsay,Manish Paul,Ravi Kishan,Pooja Thakur
Ramta Jogi,2015,139,Romance,6.9,71,Guddu Dhanoa,Rahul Dev,Zafar Dhillon,Anil Grover
Dagadi Chaawl,2015,120,"Action, Crime, Drama",6.2,180,Chandrakant Kanse,Ankush Chaudhari,Makrand Deshpande,Pooja Sawant
Ek tha Bhujang,2015,73,Drama,6.9,8,Mohinder Pratap Singh,Yashit Duggal,Siddant Gupta,Pritma Manohar
NH8 Road to Nidhivan,2015,95,Horror,2.7,35,Munindra,Auroshika Dey,Arjun Fauzdar,Swaroopa Ghosh
Mumbai Can Dance Saalaa,2015,135,Drama,1.6,43,Sachindra Sharma,Shakti Kapoor,Prashant Narayanan,Aditya Pancholi
Sharafat Gayi Tel Lene,2015,108,"Comedy, Drama, Mystery",4.9,273,Gurmmeet Singh,Zayed Khan,Tina Desai,Anupam Kher
Dil Dhadakne Do,2015,170,"Comedy, Drama, Romance",6.9,"15,722",Zoya Akhtar,Anil Kapoor,Shefali Shah,Priyanka Chopra Jonas
Yagavarayinum Naa Kakka,2015,151,Thriller,6.6,504,Sathya Prabhas Pinisetty,Aadhi,Nikki Galrani,Mithun Chakraborty
Shamitabh,2015,155,Drama,6.8,"7,099",R. Balki,Amitabh Bachchan,Dhanush,Akshara Haasan
Hogaya Dimaagh Ka Dahi,2015,124,"Comedy, Drama",3.8,45,Fauzia Arshi,Rajesh Bakshi,Danish Bhatt,Bunty Chopra
Indias Daughter,2015,120,"Action, Crime, Drama",6.9,21,Rupesh Paul,Omkar Das Manikpuri,Amann Grewal,Vishal Om Prakash
Guddu Rangeela,2015,124,"Comedy, Drama",5.3,864,Subhash Kapoor,Arshad Warsi,Amit Sadh,Ronit Roy
Singh Is Bliing,2015,141,"Action, Comedy",5,"7,891",Prabhu Deva,Akshay Kumar,Amy Jackson,Lara Dutta
Tanu Weds Manu Returns,2015,128,"Comedy, Drama, Romance",7.6,"26,843",Aanand L. Rai,Kangana Ranaut,Madhavan,Jimmy Sheirgill
Mahesh Dattanis Hasmukh Saab ki Wasihat,2015,82,Drama,6.3,36,Mahesh Dattani,Mohan Agashe,Seema Bhargava,Achint Kaur
Talvar,2015,132,"Crime, Drama, Mystery",8.2,"32,313",Meghna Gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi
Bhaag Johnny,2015,118,"Action, Fantasy, Thriller",5.2,963,Shivam Nair,Kunal Khemu,Zoa Morani,Mandana Karimi
Bezubaan Ishq,2015,128,"Musical, Romance",4,68,Jaswant Gangani,Mugdha Godse,Sneha Ullal,Nishant Malkani
Beyond Blue An Unnerving Tale of a Demented Mind,2015,99,"Crime, Fantasy, Mystery",6.7,7,Zanane Rajsingh,Tushar Pandey,Isheta Sarckar,Dipti Joshi
Tamasha,2015,139,"Comedy, Drama, Romance",7.3,"24,623",Imtiaz Ali,Deepika Padukone,Ranbir Kapoor,Sushma Seth
Madmast Barkhaa,2015,102,"Romance, Thriller",3.6,27,Jaspal Singh,Ekaansh Bhaardwaaj,Mithilesh Chaturvedi,Farida Dadi
Main Aur Charles,2015,119,"Action, Biography, Crime",6.3,"1,588",Prawaal Raman,Adil Hussain,Alexx O'Nell,Anastasia Fullfina
Kis Kisko Pyaar Karoon,2015,133,"Comedy, Romance",5.7,"5,679",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Kapil Sharma,Simran Kaur Mundi
Barkhaa,2015,127,"Drama, Romance",5.1,315,Shadaab Mirza,Sara Loren,Priyanshu Chatterjee,Muntazir Ahmad
Barefoot to Goa,2015,80,"Adventure, Drama, Family",5.6,149,Praveen Morchhale,Sonu Chourasia,Ajay Chourey,Farrukh Jaffar
Bangistan,2015,135,"Comedy, Drama",4.5,"1,168",Karan Anshuman,Jacqueline Fernandez,Michalina Olszanska,Riteish Deshmukh
Tevar,2015,157,"Action, Drama, Romance",4,"3,014",Amit Ravindernath Sharma,Arjun Kapoor,Sonakshi Sinha,Manoj Bajpayee
Luv U Alia,2015,130,"Family, Romance",5.3,81,Indrajit Lankesh,V. Ravichandran,Chandan Kumar,Sudeep
Khoya,2015,82,Drama,7.5,77,Sami Khan,Rupak Ginn,Ravi Khanvilkar,Stephen McHattie
Main Hoon Rajinikanth,2015,127,Comedy,7.3,35,Faisal Saif,Smita Gondkar,Shakti Kapoor,Sameer Khan
Chal Guru Ho Jaa Shuru,2015,127,Comedy,4.9,45,Manoj Sharma,Pawan Kumar Sharma,Vrajesh Hirjee,Brijendra Kala
Masaan,2015,109,Drama,8.2,"24,900",Neeraj Ghaywan,Richa Chadha,Sanjay Mishra,Vicky Kaushal
Calendar Girls,2015,131,Drama,4.2,862,Madhur Bhandarkar,Akanksha Puri,Avani Modi,Kyra Dutt
Meeruthiya Gangsters,2015,129,"Comedy, Crime",7.2,623,Zeishan Quadri,Jaideep Ahlawat,Aakash Dahiya,Jatin Sarna
Bumper Draw,2015,130,Comedy,4.8,41,Irshad Khan,Rajpal Yadav,Omkar Das Manikpuri,Subrat Dutta
Brothers,2015,156,"Action, Drama, Sport",6.5,"12,018",Karan Malhotra,Akshay Kumar,Sidharth Malhotra,Jackie Shroff
Breaking Free,2015,82,"Documentary, Crime, History",6.3,33,Sridhar Rangayan,Vivek Anand,Manohar Elavarthi,Anand Grover
Bombay Velvet,2015,149,"Action, Crime, Drama",5.6,"5,685",Anurag Kashyap,Ranbir Kapoor,Anushka Sharma,Karan Johar
Black Home,2015,105,"Drama, Thriller",7.4,23,Ashish Deo,Ashutosh Rana,Chitrashi Rawat,Murli Sharma
Aisa Yeh Jahaan,2015,120,Drama,6.6,52,Biswajeet Bora,Yashpal Sharma,Ira Dubey,Tinnu Anand
Katti Batti,2015,135,"Comedy, Drama, Romance",4.9,"2,856",Nikkhil Advani,Imran Khan,Kangana Ranaut,Suhaas Ahuja
Kaun Kitney Paani Mein,2015,112,"Comedy, Drama, Family",6.1,458,Nila Madhab Panda,Kunal Kapoor,Radhika Apte,Saurabh Shukla
31st October,2015,109,"Action, Drama, History",5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
30 Megapixel,2015,99,"Adventure, Drama",4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
Manjhi The Mountain Man,2015,120,"Adventure, Biography, Drama",8,"18,207",Ketan Mehta,Nawazuddin Siddiqui,Radhika Apte,Ashutosh Acharya
Khamoshiyan,2015,122,"Drama, Horror, Romance",4,"1,220",Karan Darra,Gurmeet Choudhary,Ali Fazal,Sapna Pabbi
The Angrez 2,2015,99,"Action, Comedy",7.1,57,Kuntaa Nikkil,Kuntaa Nikkil,Raghu Kumar Karumanchi,Izeqiel McCoy
Bal Ganesh 3,2015,68,Animation,4.2,13,Vijay S. Bhanushali,Vidit Kumar,Parminder Ghumman,Sanjeev Tiwari
Bajrangi Bhaijaan,2015,163,"Action, Adventure, Comedy",8,"78,448",Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui
Time Out,2015,98,"Drama, Family, Music",5.9,338,Rikhil Bahadur,Chirag Malhotra,Pranay Pachauri,Kaamya Sharma
Alone,2015,133,Horror,3.7,"1,622",Bhushan Patel,Bipasha Basu,Karan Singh Grover,Sulabha Arya
The Threshold,2015,87,Drama,7.3,55,Pushan Kripalani,Neena Gupta,Rajit Kapoor,Dhanendra Kawde
The Violin Player,2015,72,"Drama, Music",6.9,363,Bauddhayan Mukherji,Adil Hussain,Ritwick Chakraborty,Nayani Dixit
Love Exchange,2015,122,Romance,5.2,47,Raj Shetty,Mohit Madaan,Jyoti Sharma,Manoj Pahwa
The Writer,2015,107,"Crime, Mystery",5.9,15,Rajeev Jhaveri,Gemma Atkinson,Victor Banerjee,Gauahar Khan
Three Atrangi JaiVeeruGabbar,2015,124,Comedy,5.9,7,Abhishek Utkarsh Deokar,Bonnie Juneja,Manoj Sharma,Gurdev Bhullar
Any Body Can Dance 2,2015,154,"Biography, Drama, Music",5.4,"5,733",Remo D'Souza,Prabhu Deva,Varun Dhawan,Shraddha Kapoor
Bajirao Mastani,2015,158,"Action, Drama, History",7.2,"32,073",Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Priyanka Chopra Jonas
Under the Same Sun,2015,93,Drama,8.2,20,Mitra Sen,Karamveer Choudhary,Rucha Inamdar,Motilal Khan
Train Station,2015,97,"Crime, Drama, Mystery",5.6,144,Xavier Agudo,Tony Pietra Arjuna,Ryan Bajornas,Surya Balakrishnan
Umrika,2015,98,"Comedy, Drama",6.6,"1,328",Prashant Nair,Aashish Bhatt,Uplaksh Kochhar,Megh Pant
Tujhse He Raabta,2015,88,"Drama, Romance",6.2,11,Nivedita Basu,Sara Khan,Yasir Shah,Zara Barring
Angry Indian Goddesses,2015,121,"Comedy, Drama",7,"2,749",Pan Nalin,Sarah Jane Dias,Rajshri Deshpande,Sandhya Mridul
Loev,2015,92,"Drama, Romance",5.8,"2,434",Sudhanshu Saria,Dhruv Ganesh,Siddharth Menon,Shiv Panditt
The Spectacular Jihad of Taz Rahim,2015,128,"Comedy, Crime, Drama",5.7,19,Raghav Murali,Monica Dogra,Rahsaan Noor,Kal Parekh
Zubaan,2015,115,Drama,6.1,408,Mozez Singh,Vicky Kaushal,Sarah Jane Dias,Raaghavv Chanana
The Silent Heroes,2015,115,"Adventure, Drama, Family",6.4,64,Mahesh Bhatt,Mann Bagga,Gurfareen Bano,Maanuv Bharadwaj
The Silence,2015,91,Drama,7.3,293,Gajendra Ahire,Sonam Arora,Mugdha Chaphekar,Mihiresh Joshi
Utopia,2015,85,Drama,5.6,101,Hassan Nazer,Hannah Spearritt,Andrew Shaver,Bhasker Patel
The Second Best Exotic Marigold Hotel,2015,122,"Comedy, Drama, Romance",6.6,"32,007",John Madden,Judi Dench,Maggie Smith,Bill Nighy
All Is Well,2015,126,"Comedy, Drama, Romance",3.8,"1,513",Umesh Shukla,Rishi Kapoor,Abhishek Bachchan,Asin Thottumkal
Aligarh,2015,114,"Biography, Drama",7.8,"6,402",Hansal Mehta,Manoj Bajpayee,Rajkummar Rao,Ashish Vidyarthi
The Perfect Girl,2015,97,Romance,5.7,123,Prakash Nambiar,Teeshay,Tara-Alisha Berry,Shalaka Apte
Uvaa,2015,138,"Comedy, Drama",4.9,151,Jasbir Bijender Bhati,Om Puri,Rajit Kapoor,Manish Chaudhary
Baankey Ki Crazy Baraat,2015,138,Comedy,6.2,356,Aijaz Khan,Rajpal Yadav,Tia Bajpai,Rakesh Bedi
Baby,2015,159,"Action, Thriller",8,"53,997",Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubati
Kuch Kuch Locha Hai,2015,143,"Comedy, Drama",2.5,794,Devang Dholakia,Ram Kapoor,Sunny Leone,Evelyn Sharma
Luckhnowi Ishq,2015,127,Drama,7.1,23,Aanand Raut,Adhyayan Suman,Karishma Kotak,Mukesh Khanna
Badlapur,2015,134,"Action, Crime, Drama",7.4,"22,324",Sriram Raghavan,Varun Dhawan,Nawazuddin Siddiqui,Yami Gautam
Badmashiyaan,2015,128,"Comedy, Romance",4.6,133,Amit Khanna,Sidhant Gupta,Suzanna Mukherjee,Gunjan Malhotra
The Flip Side A Truth That Could Not Reach You,2015,48,Documentary,9.2,97,Utpal Kalal,Subramanian Swamy,Shiva Shambh Bhatt,Asaram Bapu
Cecilia,2015,83,Documentary,7.9,31,Pankaj Johar,Cecilia,Pankaj Johar,Rishi Kant
Tera Mera Tedha Medha,2015,107,Comedy,4,9,Chittaranjan Tripathy,Rahul Bagga,Geetika Tyagi,Reema Vohra
Chehere A Modern Day Classic,2015,106,Thriller,5.8,22,Rohit Kaushik,Divya Dutta,Manisha Koirala,Jackie Shroff
Miss Tanakpur Haazir Ho,2015,154,"Comedy, Crime, Family",5.4,323,Kapri Vinod,Anup Das,Rahul Bagga,Hrishitaa Bhatt
Charlie Kay Chakkar Mein,2015,102,Thriller,4.5,159,Manish Srivastav,Naseeruddin Shah,Nishant Lal,Disha Arora
Kaash,2015,106,Drama,5,20,Ishaan Nair,Nidhi Sunil,Kavya Trehan,Varun Mitra
Kya Dilli Kya Lahore,2014,98,"Drama, History, War",7.4,"1,844",Vijay Raaz,Karan Arora,Vijay Raaz,Manu Rishi Chadha
The Dirty MMS,2014,93,Drama,2.4,18,Sudhir Pillai,Rakesh,Sudhir,Gunj
Strings of Passion,2014,100,Drama,6.5,31,Sanghamitra Chaudhuri,Zeenat Aman,Indrani Haldar,Shubh Mukherjee
The Goa Run,2014,112,"Action, Crime, Romance",7.1,58,John Owen,Rajeev Khandelwal,Prashant Narayanan,Lekha Washington
Dekh Tamasha Dekh,2014,110,Comedy,6.1,284,Feroz Abbas Khan,Satish Kaushik,Tanvi Azmi,Vinay Jain
Bollywood Villa,2014,124,Thriller,4.8,12,Chandersen Singh,Arun Bakshi,Piyush Bhalodiya,Deepak Bhatia
652,2014,104,Horror,4.2,171,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
Badlapur Boys,2014,123,Drama,4.7,123,Shailesh Verma,Annu Kapoor,Anupam Maanav,Saranya Mohan
Youngistaan,2014,133,"Drama, Romance",5.1,"1,843",Syed Ahmad Afzal,Jackky Bhagnani,Neha Sharma,Farooq Shaikh
Lucky Kabootar,2014,117,Comedy,5.1,75,Shammi Chhabra,Arvinder Bhatti,Shraddha Das,Rimple Dhindsa
1811,2014,126,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari
Hum Hai Teen Khurafaati,2014,126,Comedy,6.2,10,Sudhish Kumar Sharma,Muntazir Ahmad,Manoj Bakshi,Sheet Chhabra
Desi Kattey,2014,139,Action,4,126,Kumar Anand,Akhil Kapur,Tia Bajpai,Jay Bhanushali
Pagdi The Honour,2014,98,"Drama, Family",5.8,31,Rajeev Bhatia,Ravi Chauhan,Yashpal Sharma,Nidhi Mahila
Bobby Jasoos,2014,121,"Comedy, Drama, Thriller",5.5,"2,189",Samar Iqbal,Vidya Balan,Ali Fazal,Mahima A
Oraalppokkam,2014,99,"Drama, Fantasy, Mystery",7,108,Sanal Kumar Sasidharan,Prakash Bare,Meena Kandasamy,Samvid Anand
Masala Republic,2014,135,"Comedy, Thriller",5.2,105,Visakh G S,Indrajith Sukumaran,Soubin Shahir,Vinay Forrt
Revolver Rani,2014,132,"Action, Comedy, Crime",4.5,"1,678",Sai Kabir,Kangana Ranaut,Vir Das,Zakir Hussain
Akela the Alone,2014,58,Thriller,5.5,10,Abrar,Adil Ahamad,Roman Ajaz,Casim Bilal
Humpty Sharma Ki Dulhania,2014,133,"Comedy, Drama, Romance",6,"11,840",Shashank Khaitan,Varun Dhawan,Alia Bhatt,Ashutosh Rana
EbneBatuta,2014,125,Sci-Fi,4.3,27,Varun Middha,Omkar Das Manikpuri,Rajeev Verma,Dev Gohar
One by Two,2014,139,"Comedy, Drama, Romance",4.2,722,Devika Bhagat,Abhay Deol,Preeti Desai,Lillete Dubey
The Hero of Color City,2014,77,"Animation, Adventure, Family",4.1,528,Frank Gladstone,Owen Wilson,Christina Ricci,Rosie Perez
Shaadi Ke Side Effects,2014,145,"Comedy, Romance",5.6,"3,882",Saket Chaudhary,Farhan Akhtar,Vidya Balan,Vir Das
Kuku Mathur Ki Jhand Ho Gayi,2014,109,"Comedy, Romance",5.3,243,Aman Sachdeva,Siddharth Gupta,Simran Kaur Mundi,Siddharth Bhardwaj
Karar The Deal,2014,115,Thriller,4.2,64,Sabir,Mahek Chahal,Tarun Arora,Shashi Wadia
Ya Rab,2014,120,"Action, Crime, Drama",5.9,278,Hasnain Hyderabadwala,Indrapal Ahuja,Neha Baam,Vikram Dahiya
The Royal Bengal Tiger,2014,110,Thriller,6.9,793,Rajesh Ganguly,Jeet,Abir Chatterjee,Priyanka Sarkar
Station,2014,120,"Crime, Drama, Thriller",7.5,90,Saad Khan,Kanika Batra,Gulshan Grover,Rohiet Nair
Finding Fanny,2014,102,"Adventure, Comedy, Drama",5.7,"6,225",Homi Adajania,Deepika Padukone,Arjun Kapoor,Naseeruddin Shah
Raja Natwarlal,2014,141,"Crime, Thriller",6.1,"4,038",Kunal Deshmukh,Emraan Hashmi,Humaima Malik,Paresh Rawal
Paranthe Wali Gali,2014,101,"Drama, Romance",5,87,Sachin Gupta,Mohinder Gujral,Yuvraj Haral,Vijayant Kohli
Mohan Rakeshs Adhe Adhure,2014,100,Drama,7.1,32,Rohit Philip,Mohan Agashe,Lillete Dubey,Ira Dubey
Heropanti,2014,146,"Action, Romance",5.3,"8,372",Sabir Khan,Tiger Shroff,Kriti Sanon,Parthaa Akerkar
Ladies First,2014,106,Romance,3.6,20,Ashok Mehta,Ruby Ahmed,Khushboo Khan,Gautmi
The Lost Salesman of Delhi,2014,97,"Adventure, Drama, Mystery",7.9,39,Deepak Mahajan,Manoj Bakshi,Radha Bhatt,Preet Bhatti
Highway,2014,133,"Crime, Drama, Romance",7.6,"27,168",Imtiaz Ali,Alia Bhatt,Randeep Hooda,Durgesh Kumar
Humshakals,2014,159,"Comedy, Drama, Romance",1.8,"7,840",Sajid Khan,Saif Ali Khan,Riteish Deshmukh,Ram Kapoor
Karle Pyaar Karle,2014,110,"Action, Romance",2.7,128,Rajesh Pandey,Shiv Darshan,Hasleen Kaur,Aham Sharma
The Lastbenchers,2014,147,"Biography, Comedy, Drama",7.3,29,Prajact Rebeloma,Prajakt Rebeloma,Pooja Bhattad,Shriya Fule
Dear Vs Bear,2014,145,"Adventure, Thriller",6.6,18,Sanjeev Vedwan,Uttar Kumar,Kavita Joshi,Manoj Bakshi
Babloo Happy Hai,2014,113,"Comedy, Drama, Romance",6.7,83,Nila Madhab Panda,Sahil Anand,Erica Fernandes,Parvin Dabas
Dedh Ishqiya,2014,152,"Comedy, Drama, Romance",7.1,"6,978",Abhishek Chaubey,Madhuri Dixit,Naseeruddin Shah,Arshad Warsi
Children of War,2014,160,"Drama, History, War",6.7,879,Mrityunjay Devvrat,Farooq Shaikh,Victor Banerjee,Pawan Malhotra
Holiday A Soldier is Never Off Duty,2014,160,"Action, Thriller",7.2,"26,163",A.R. Murugadoss,Akshay Kumar,Sonakshi Sinha,Freddy Daruwala
Ekkees Toppon Ki Salaami,2014,140,Comedy,6,502,Ravindra Gautam,Anupam Kher,Neha Dhupia,Divyendu Sharma
Kartooz,2014,97,"Action, Adventure",3,7,Panna Hossain,Faruque Azam,Anindita Chatterjee,Sumita Chatterjee
The HundredFoot Journey,2014,122,"Comedy, Drama",7.3,"78,340",Lasse Hallstr?,Helen Mirren,Om Puri,Manish Dayal
Mary Kom,2014,122,"Action, Biography, Drama",6.8,"10,089",Omung Kumar,Priyanka Chopra Jonas,Sunil Thapa,Robin Das
Ritu,2014,129,"Drama, Romance",6.8,25,Manoj Adhikari,Raj Ballav Koirala,Malina Joshi,Reema Bishwokarma
The Shaukeens,2014,124,Comedy,4.9,"2,906",Abhishek Sharma,Akshay Kumar,Lisa Haydon,Anupam Kher
Riyasat,2014,80,Crime,6.4,44,Ashok Tyagi,Rajesh Khanna,Aryeman Ramsay,Raza Murad
Machhli Jal Ki Rani Hai,2014,120,Horror,2.3,235,Debaloy Dey,Swara Bhaskar,Reema Debnath,Saurabh Dubey
Supari  The Quest Begins Now,2014,90,Crime,5.9,33,Aamreeta Gautam,Sabreen Baker,Swetanshu Bora,Mukesh Ghatiya
Bazaar E Husn,2014,125,Drama,4.8,15,Ajay Mehra,Ahmed Faisal Inam,Om Puri,Jeet Goswami
DOA Death of Amar,2014,90,Thriller,7.1,29,Param Gill,Steven a Dsouza,Zareen Khan,Rajeev Khandelwal
O Teri,2014,107,"Comedy, Drama",3.3,584,Umesh Bist,Pulkit Samrat,Bilal Amrohi,Sarah Jane Dias
Kill Dil,2014,127,"Action, Comedy, Drama",4.3,"3,927",Shaad Ali,Ranveer Singh,Ali Zafar,Parineeti Chopra
Kick,2014,146,"Action, Comedy, Crime",5.3,"26,761",Sajid Nadiadwala,Salman Khan,Jacqueline Fernandez,Nawazuddin Siddiqui
Neighbours,2014,125,Horror,3.2,42,Shyam Ramsay,Sunny Singh,Hritu,Gavie Chahal
Zid,2014,126,"Crime, Romance, Thriller",4.4,"1,105",Vivek Agnihotri,Mannara Chopra,Karanvir Sharma,Shraddha Das
Khwaabb,2014,90,"Drama, Romance, Sport",5.5,68,Zaid Ali Khan,Simer Motiani,Navdip Singh,Bajrangbali Singh
Super Nani,2014,133,"Comedy, Drama, Family",4.6,398,Indra Kumar,Rekha,Sharman Joshi,Randhir Kapoor
Surkhaab,2014,100,"Adventure, Drama, Thriller",6.3,68,Sanjay Talreja,Barkha Madan,Sumit Suri,Vineeta Malik
Its Entertainment,2014,140,"Action, Comedy, Drama",4.5,"7,875",Sajid,Farhad Samji,Akshay Kumar,Tamannaah Bhatia
Dishkiyaoon,2014,119,"Action, Thriller",5.2,986,Sanamjit Singh Talwar,Harman Baweja,Harsh Chhaya,Sunny Deol
Bewakoofiyaan,2014,119,"Comedy, Drama, Romance",5.5,"3,938",Nupur Asthana,Ayushmann Khurrana,Sonam Kapoor,Rishi Kapoor
Sold,2014,94,Drama,6.9,"1,589",Jeffrey D. Brown,Gillian Anderson,David Arquette,Priyanka Bose
Khoobsurat,2014,130,"Comedy, Romance",6.4,"7,877",Shashanka Ghosh,Sonam Kapoor,Fawad Khan,Ratna Pathak Shah
Dil Ka Sauda,2014,136,"Action, Crime, Drama",5.3,6,Lalji B. Yadav,Dilip Tadeshwar,Rakhi Sawant,Donny Kapoor
Main Tera Hero,2014,128,"Action, Comedy, Romance",5.1,"8,139",David Dhawan,Varun Dhawan,Ileana D'Cruz,Nargis Fakhri
Tamanchey Pyar Mein Dil Pe Maar De Goli,2014,113,"Crime, Romance",4.4,308,Navneet Behal,Nikhil Dwivedi,Richa Chadha,Damandeep Singh
Samrat  Co,2014,125,"Mystery, Thriller",6.2,"1,227",Kaushik Ghatak,Rajeev Khandelwal,Madalsa Sharma,Gopal Datt
2 States,2014,149,"Comedy, Drama, Romance",6.9,"24,034",Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
W,2014,137,"Crime, Musical, Thriller",6.6,47,Tarun Madan Chopra,Leeza Mangaldas,Lezlie Tripathy,Sonal Giani
3 AM A Paranormal Experience,2014,103,"Horror, Romance",5,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
